title,price,currency,kilometrage,link
 Honda Civic EXT 2017 ,16300,USD, 36 тис. км ,https://auto.ria.com/uk/auto_honda_civic_30893837.html
 Honda Civic  2018 ,14900,USD, 58 тис. км ,https://auto.ria.com/uk/auto_honda_civic_31317666.html
 Honda Civic EX 2016 ,15700,USD, 82 тис. км ,https://auto.ria.com/uk/auto_honda_civic_31004226.html
 Honda Civic EX 2018 ,15300,USD, 86 тис. км ,https://auto.ria.com/uk/auto_honda_civic_31389364.html
 Honda Civic 1.6L i-VTEC CVT (125 л.с.) 2021 ,26342,USD, без пробігу ,https://auto.ria.com/uk/newauto/auto-honda-civic-1843347.html
 Honda Civic  2020 ,16600,USD, 33 тис. км ,https://auto.ria.com/uk/auto_honda_civic_31482182.html
 Honda Civic Touring  2018 ,16200,USD, 70 тис. км ,https://auto.ria.com/uk/auto_honda_civic_31427116.html
 Honda Civic  2018 ,16300,USD, 45 тис. км ,https://auto.ria.com/uk/auto_honda_civic_31490719.html
 Honda Civic  Hybrid 2009 ,7000,USD, 150 тис. км ,https://auto.ria.com/uk/auto_honda_civic_30976630.html
 Honda Civic 1.6L i-VTEC CVT (125 л.с.) 2021 ,26342,USD, без пробігу ,https://auto.ria.com/uk/newauto/auto-honda-civic-1862866.html
 Honda Civic 1.6L i-VTEC CVT (125 л.с.) 2021 ,26308,USD, без пробігу ,https://auto.ria.com/uk/newauto/auto-honda-civic-1867331.html
 Honda Civic 1.6L i-VTEC CVT (125 л.с.) 2021 ,26308,USD, без пробігу ,https://auto.ria.com/uk/newauto/auto-honda-civic-1867333.html
 Honda Civic  2015 ,11900,USD, 39 тис. км ,https://auto.ria.com/uk/auto_honda_civic_31250232.html
 Honda Civic CVT MX  5L na 100km 2009 ,6990,USD, 160 тис. км ,https://auto.ria.com/uk/auto_honda_civic_31518960.html
 Honda Civic 5D 2010 ,7890,USD, 138 тис. км ,https://auto.ria.com/uk/auto_honda_civic_30625463.html
 Honda Civic  2006 ,7999,USD, 98 тис. км ,https://auto.ria.com/uk/auto_honda_civic_31268641.html
 Honda Civic official 2008 ,6900,USD, 198 тис. км ,https://auto.ria.com/uk/auto_honda_civic_31268918.html
 Honda Civic 1.6L i-VTEC CVT (125 л.с.) 2021 ,26342,USD, без пробігу ,https://auto.ria.com/uk/newauto/auto-honda-civic-1863894.html
 Honda Civic 1.6 CVT (125 л.с.) 2021 ,26342,USD, без пробігу ,https://auto.ria.com/uk/newauto/auto-honda-civic-1844269.html
